Project,JNI files,% of affected files EILC,TMC,TMS,UNMD,UNMI,UP,ASMRV,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO
RobotPathfinder-master,5.00,40.00,60.00,0.00,0.00,20.00,0.00,0.00,20.00,60.00,0.00,0.00,120.00,20.00,20.00,0.00
rtlsdrj-main,1.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
rustjblas-master,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00
SDL2-Ndk-Opengles-SampleApp-master,2.00,100.00,50.00,100.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,50.00,100.00,50.00,0.00,0.00
sdljoystick4java-master,1.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
SoundTouch4Android-master,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
VideoEffectRendering-master,2.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,100.00,100.00,0.00
webrtc-java-0.2.0,23.00,52.17,17.39,43.47,0.00,60.87,4.35,0.00,0.00,52.17,4.35,0.00,4.35,4.35,0.00,4.35
webrtc-java-master,27.00,51.85,25.93,40.74,0.00,59.26,0.00,0.00,0.00,62.96,3.70,0.00,11.11,3.70,0.00,7.41
wolfcrypt-jni-master,42.00,4.76,2.38,19.04,4.76,11.90,2.38,0.00,0.00,0.00,2.38,0.00,0.00,4.76,4.76,0.00
wolfssljni-master,9.00,22.22,11.11,55.55,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00
zmq-jni-master,1.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00
zstd-jni-master,9.00,66.67,11.11,33.33,11.11,11.11,11.11,0.00,11.11,0.00,11.11,0.00,77.78,11.11,0.00,33.33
,,,,,,,,,,,,,,,,
WEIGHTED AVERAGE ,354.00,25.42,20.34,32.48,6.21,35.59,6.50,1.69,1.13,12.99,12.71,0.56,37.29,36.44,30.23,3.39
